,Date,Open,High,Low,Close,Volume,Open Diff,High Diff,Low Diff,Close Diff,Volume Diff
0,2014-09-17,465.864014,468.174011,452.421997,457.334015,21056800,0.0,0.0,0.0,0.0,0.0
1,2014-09-18,456.859985,456.859985,413.104004,424.440002,34483200,-1.9327590733376532,-2.4166283762385166,-8.690557324956949,-7.192557719547721,63.762774970555824
2,2014-09-19,424.102997,427.834991,384.532013,394.79599,37919700,-7.170027814977054,-6.353148656694019,-6.916415896080242,-6.984264409649111,9.965722438752778
3,2014-09-20,394.673004,423.29599,389.882996,408.903992,36863600,-6.939350395583277,-1.060923275441017,1.3915572225712047,3.5734917165698654,-2.7850958736487907
4,2014-09-21,408.084991,412.425995,393.181,398.821014,26580100,3.3982529496747738,-2.5679418791564768,0.845895828706511,-2.465854625356656,-27.896081771720617
5,2014-09-22,399.100006,406.915985,397.130005,402.152008,24127600,-2.2017435578756683,-1.3359996864407253,1.0043733038981983,0.8352102529883387,-9.226827589060992
6,2014-09-23,402.09201,441.557007,396.196991,435.790985,45099500,0.7496877862738005,8.513064926658021,-0.23493918572079497,8.36474177197195,86.92078781146901
7,2014-09-24,435.751007,436.112,421.131989,423.204987,30627700,8.370968873517292,-1.2331379445191248,6.293585909641597,-2.88808131265037,-32.0886040865198
8,2014-09-25,423.156006,423.519989,409.467987,411.574005,26814400,-2.8904123679971305,-2.8873342168984184,-2.769678462967573,-2.7483092962701794,-12.450494160514825
9,2014-09-26,411.428986,414.937988,400.009003,404.424988,21460800,-2.771323066131781,-2.0263508743149306,-2.310066794061727,-1.7369942982672137,-19.965391729816815
10,2014-09-27,403.556,406.622986,397.372009,399.519989,15029300,-1.913571057922503,-2.0039143776828583,-0.659233662298353,-1.2128328232774765,-29.9685939014389
11,2014-09-28,399.471008,401.016998,374.332001,377.181,23613300,-1.012249105452523,-1.3786697242934576,-5.798095356031984,-5.591457152347901,57.11510183441677
12,2014-09-29,376.928009,385.210999,372.23999,375.46701,32497700,-5.643212786045293,-3.941478560467404,-0.5588651235831743,-0.45442108695824546,37.62455904087951
13,2014-09-30,376.088013,390.97699,373.442993,386.944,34707300,-0.22285316557624224,1.4968396579974064,0.32317940906887443,3.056723944934614,6.799250408490454
14,2014-10-01,387.427002,391.378998,380.779999,383.61499,26229400,3.0149828253100974,0.10282139621566877,1.9646923727391963,-0.8603337950711332,-24.426849682919727
15,2014-10-02,383.988007,385.497009,372.946014,375.071991,21777700,-0.887649797832113,-1.502888256666246,-2.0573520196894513,-2.2269721524698416,-16.97217626022708
16,2014-10-03,375.181,377.695007,357.859009,359.511993,30901200,-2.293563038285207,-2.0238813318523063,-4.045358961793322,-4.148536380579804,41.89377206959413
17,2014-10-04,359.891998,364.487,325.885986,328.865997,47236500,-4.075100284929134,-3.4970033374044474,-8.93453069390242,-8.524332038069183,52.86299561182091
18,2014-10-05,328.915985,341.800995,289.29599,320.51001,83308096,-8.607030212436129,-6.224091668564313,-11.227851939604417,-2.5408485754761623,76.36382035078806
19,2014-10-06,320.389008,345.134003,302.559998,330.07901,79011800,-2.5924483420895372,0.975131157824749,4.584926324073835,2.9855541797274787,-5.1571170225760525
20,2014-10-07,330.584015,339.247009,320.481995,336.187012,49199900,3.1820714023996777,-1.7057125489892688,5.923452246982097,1.8504666503937894,-37.730946516849386
21,2014-10-08,336.115997,354.364014,327.187988,352.940002,54736300,1.673396700684382,4.456046655963308,2.0924710606597507,4.983235342833536,11.252868400139015
22,2014-10-09,352.747986,382.726013,347.687012,365.026001,83641104,4.948288432698433,8.003634082325316,6.265212890394967,3.424377778521115,52.807376457670685
23,2014-10-10,364.687012,375.066986,352.963013,361.562012,43665700,3.384576659213012,-2.00117753689244,1.517457028276925,-0.9489704816945443,-47.79396981656292
24,2014-10-11,361.362,367.19101,355.950989,362.299011,13345200,-0.911744013521365,-2.0998851655794626,0.846540824378117,0.2038375093454281,-69.43779671458377
25,2014-10-12,362.605988,379.433014,356.144012,378.549011,17552800,0.34424981043938985,3.333960708896444,0.054227409380791514,4.485245475870214,31.528939244072784
26,2014-10-13,377.92099,397.226013,368.897003,390.414001,35221400,4.223593240826462,4.689365011342961,3.5808522873606474,3.1343339053129915,100.65972380474908
27,2014-10-14,391.691986,411.697998,391.324005,400.869995,38491500,3.643882283437061,3.643262154636373,6.079475251253275,2.678181103448707,9.284412317511514
28,2014-10-15,400.954987,402.22699,388.765991,394.77301,25267100,2.3648686547291353,-2.300474630921079,-0.6536818511810982,-1.520938228365043,-34.35667614927971
29,2014-10-16,394.518005,398.807007,373.070007,382.556,26990000,-1.6054126295229287,-0.8502619379171961,-4.037386078866145,-3.094692314451797,6.818748491120874
30,2014-10-17,382.756012,385.477997,375.389008,383.757996,13600700,-2.9813577202896013,-3.3422206144938627,0.6215994200788222,0.3142013195453819,-49.608373471656165
31,2014-10-18,383.976013,395.15799,378.971008,391.441986,11416800,0.31874117237902233,2.5111661561321164,0.9542101456524232,2.0023009501018985,-16.057261758585952
